Nombre Completo;Grupos;Técnico a cargo;Visible en la interfaz del Helpdesk;Visible para una solicitud;Visible para un incidente;Visible para un problema;Visible para un cambio;ID;Código que representa la categoría del caso
"MDH > Problemas de Pago > Escalamiento al area Técnica del MdH para validar si los servicios de API REST ""tesoro digital"" (Ej: Web Banking, SINPE) esta operativo";;;Si;No;Si;Si;Si;;
MDH > Problemas desarrollador API > Falla en el metódo de autenticación o token API;;;Si;No;Si;Si;Si;;
MDH > Consulta sobre el Manual de Procedimientos Aduaneros > Consultas sobre el Manual de Procedimientos Aduaneros o Circulares, Directrices y Resoluciones recientes sobre ajustes al procedimiento en ATENA;;;Si;Si;No;Si;Si;;
MDH > Problemas desarrollador API > Falla en la integración o problemas con el API;;;Si;No;Si;Si;Si;;
MDH > Consulta sobre el Manual de Procedimientos Aduaneros > Escalamiento solo cuando existen consultas sobre el manual de procedimientos aduaneros, LGA - Ley General de Aduanas,  RLGA - Reglamento Ley General de Aduanas o novedades sobre Circulares o Directrices (> 1 semana);;;Si;Si;No;Si;Si;;
MDH > Problemas desarrollador API > Consultas sobre documentación del API;;;Si;Si;No;Si;Si;;
MDH > Problemas en el proceso de rectificacion > Se están definiendo las politicas de rectificación, después de confirmación;;;Si;No;Si;Si;Si;;
MDH > Problemas en la Firma Digital > Problemas para firmar digitalmente en ATENA;;;Si;No;Si;Si;Si;;
MDH > Problemas en la Firma Digital > Se detecta que el error es externo, se sensibiliza a contactar a su proveedor de firma digital;;;Si;No;Si;Si;Si;;
"MDH > Problemas en la Firma Digital > Escalamiento al area Técnica del MdH para validar si la plataforma ""hacienda autentica"" esta operativa";;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Levante > El sistema no genera la autorización de levante;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Levante > Escalamiento: Se determina problema de interoperabilidad es de ATENA;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Levante > Escalamiento: Se determina problema de interoperabilidad es del Puerto;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > Problemas al tratar de dar inicio o fin al  tránsito, o no actualización del estado de la DUA;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > Problemas al tratar de modificar datos de tránsito;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > El sistema no generó el comprobante de movilización;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > El sistema no muestra la opción de Generar Tránsito (T1);;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > El sistema no permite realizar la operación de agrupar DUAS para generar un solo Tránsito (T1);;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > Imposibilidad de imprimir el comprobante de movilización;;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > Problemas para revisar una incidencia en tránsito y actualización de los estados  (Usuario: Aduana);;;Si;No;Si;Si;Si;;
MDH > Problemas en Proceso de Tránsito > Imposibilidad de reportar incidencias en carretera  Ejemplo: ocurrió el incidente y el usuario no sabe que hacer o no se le habilitó la funcionalidad de registrar incidencias;;;Si;Si;No;Si;Si;;
MDH > Problemas en Proceso de Tránsito > Incidencia pendiente de autorización por parte de la Aduana;;;Si;No;Si;Si;Si;;
MDH > Problemas de Acceso > La solicitud Implica Activación Usuario Contingencia Mesa valida que la solicitud venga con el documento de identidad adjunto por ambos lados.;;;Si;Si;No;Si;Si;;
MDH > Problemas de Acceso > La solicitud Implica Activación Usuario Contingencia DGA valorar si corresponde;;;Si;Si;No;Si;Si;;
MDH > Problemas de Acceso > La solicitud Implica Activación Usuario Contingencia DTIC Notifica al solicitante con el usuario y contraseña;;;Si;Si;No;Si;Si;;
